0	41	96	0	__yo_t828		SmWhileContinueInfo : SmWhileContinueInfo (reference counted)
0	0	80	0	__yo_t1197		: <struct:struct_yo_id_947931> (reference counted)
0	20	96	0	__yo_t883		OverlappingSlot : OverlappingSlot (reference counted)
0	0	80	0	__yo_t639		: <struct:struct_yo_id_303366> (reference counted)
0	0	80	0	__yo_t1032		: <struct:struct_yo_id_757652> (reference counted)
0	0	152	0	__yo_t1207		PublicSafeFinding : PublicSafeFinding (reference counted)
0	1	96	0	__yo_t44		Command : Command (reference counted)
0	20	184	0	__yo_t804		WhileLoopInfo : WhileLoopInfo (reference counted)
83	100	80	6640	__yo_t120		: <struct:struct_yo_id_298101> (reference counted)
0	0	112	0	__yo_t990		PkgConfigResult : PkgConfigResult (reference counted)
0	252	72	0	__yo_t880		OverlappingStorageResult : OverlappingStorageResult (reference counted)
0	4	88	0	__yo_t855	TRACKED	: <struct:struct_yo_id_1166434> (reference counted)
3550112	10577058	136	482815232	__yo_t7		Token : Token (reference counted)
4	70	80	320	__yo_t798		: <struct:struct_yo_id_1108268> (reference counted)
0	0	160	0	__yo_t127	TRACKED	EffectAnalysisResult : EffectAnalysisResult (reference counted)
0	0	80	0	__yo_t1192		: <struct:struct_yo_id_755306> (reference counted)
4015733	18372465	80	321258640	__yo_t9		: <struct:struct_yo_id_17685> (reference counted)
0	0	88	0	__yo_t669		DependencyArtifactRef : DependencyArtifactRef (reference counted)
3	7	88	264	__yo_t595		: <struct:struct_yo_id_27100> (reference counted)
0	0	80	0	__yo_t1050		: <struct:struct_yo_id_757618> (reference counted)
0	0	80	0	__yo_t1146		: <struct:struct_yo_id_880806> (reference counted)
2354	2496911	80	188320	__yo_t94	TRACKED	: <struct:struct_yo_id_26081> (reference counted)
2	14	88	176	__yo_t363		: <struct:struct_yo_id_339189> (reference counted)
0	2	80	0	__yo_t768		: <struct:struct_yo_id_1172951> (reference counted)
0	0	80	0	__yo_t134		: <struct:struct_yo_id_298154> (reference counted)
2458	166912	136	334288	__yo_t271		MethodEntry : MethodEntry (reference counted)
0	100	72	0	__yo_t424	TRACKED	Box(<struct:capture_yo_id_397290>) : Box(<struct:capture_yo_id_397290>) (reference counted)
0	0	64	0	__yo_t431	TRACKED	Box(<struct:struct_decl_1974909_file__//Users/yiyiwang/Workspace/Yo/yo-self/evaluator/async/await_an
0	0	80	0	__yo_t1173		: <struct:struct_yo_id_886790> (reference counted)
1	8	88	88	__yo_t452		: <struct:struct_yo_id_356607> (reference counted)
